% time spent exploring,episodes,mean 100 episode reward,steps
2,3960,1301.7,923377
2,3970,1331.9,925193
2,3980,1411.8,928058
2,3990,1415.7,929517
2,4000,1411.0,931048
2,4010,1453.2,933257
2,4020,1455.8,935218
2,4030,1516.9,940101
2,4040,1431.3,942600
2,4050,1443.9,944437
2,4060,1476.1,946445
2,4070,1506.5,949149
2,4080,1516.6,951512
2,4090,1596.0,953951
2,4100,1663.2,956954
2,4110,1637.2,959180
2,4120,1640.4,961807
2,4130,1534.0,964046
2,4140,1560.5,966742
2,4150,1586.9,970492
2,4160,1618.3,973288
2,4170,1676.3,977737
2,4180,1683.3,980315
2,4190,1693.7,983516
2,4200,1685.5,986803
2,4210,1757.3,990879
2,4220,1808.1,994412
2,4230,1889.6,996756
2,4240,1889.4,999204
